Entity,Code,Year,Lower_secondary_education,Pre-primary_education,Primary_education,Tertiary_education_programmes,Upper_secondary_education,Total
Afghanistan,AFG,1970,,42,13116,793,,13951
Afghanistan,AFG,1971,,42,14651,,,14693
Afghanistan,AFG,1972,,65,14796,972,,15833
Afghanistan,AFG,1973,,73,16293,1264,,17630
Afghanistan,AFG,1974,,74,17579,982,,18635
Afghanistan,AFG,1975,,95,18558,,,18653
Afghanistan,AFG,1976,,164,20406,,,20570
Afghanistan,AFG,1977,,220,,,,220
Afghanistan,AFG,1979,,,,1448,,1448
Afghanistan,AFG,1980,,369,,,,369
Afghanistan,AFG,1981,,430,,,,430
Afghanistan,AFG,1982,,319,,1724,,2043
Afghanistan,AFG,1984,,739,,,,739
Afghanistan,AFG,1985,,873,,,,873
Afghanistan,AFG,1986,,1505,,,,1505
Afghanistan,AFG,1987,,,,1418,,1418
Afghanistan,AFG,1989,,,17089,,,17089
Afghanistan,AFG,1990,,,15106,1342,,16448
Afghanistan,AFG,1993,,,16160,,,16160
Afghanistan,AFG,1994,,,20055,,,20055
Afghanistan,AFG,1999,,,26385,,,26385
Afghanistan,AFG,2003,,3351,,1688,,5039
Afghanistan,AFG,2004,,,,1781,,1781
Afghanistan,AFG,2006,,,110313,,,110313
Afghanistan,AFG,2007,23539,,110312,,9278,119590
Afghanistan,AFG,2008,33902,,113763,,,113763
Afghanistan,AFG,2009,30775,,115454,3342,,118796
Afghanistan,AFG,2010,33856,,118858,,,118858
Afghanistan,AFG,2011,34247,,121593,3057,,124650
Afghanistan,AFG,2012,34990,,129093,,,129093
Afghanistan,AFG,2013,34838,,130957,,,130957
Afghanistan,AFG,2014,,,,11002,,11002
Albania,ALB,1971,,2460,,926,,3386
Albania,ALB,1972,,2713,,1153,,3866
Albania,ALB,1978,,,,1015,,1015
Albania,ALB,1980,,3997,,,,3997
Albania,ALB,1981,,4162,,1103,,5265
Albania,ALB,1982,,4430,,,,4430
Albania,ALB,1983,,4480,,1240,,5720
Albania,ALB,1984,,4600,,1360,,5960
Albania,ALB,1985,,4753,,1502,,6255
Albania,ALB,1986,,4850,,1468,,6318
Albania,ALB,1987,,5005,,1509,,6514
Albania,ALB,1988,,5171,,1625,,6796
Albania,ALB,1989,,5299,,1659,,6958
Albania,ALB,1990,,5440,,1797,,7237
Albania,ALB,1991,,5664,,1806,,7470
Albania,ALB,1992,,5440,,1805,,7245
Albania,ALB,1993,,5081,,1680,,6761
Albania,ALB,1994,,4578,,1774,,6352
Albania,ALB,1995,,4428,,1504,,5932
Albania,ALB,1996,,4416,,2164,,6580
Albania,ALB,1997,,4463,13342,,,17805
Albania,ALB,1999,,4092,,3156,5897,13145
Albania,ALB,2000,16504,3939,12551,2943,5746,25179
Albania,ALB,2001,16190,3937,12607,3030,6090,25664
Albania,ALB,2002,,3570,,,6210,9780
Albania,ALB,2003,16028,3751,11762,,6396,21909
Albania,ALB,2004,,3773,,,6873,10646
Albania,ALB,2005,,3838,,,7384,11222
Albania,ALB,2006,,3873,,,7997,11870
Albania,ALB,2007,,3773,,,8424,12197
Albania,ALB,2008,15825,3883,10277,,8383,22543
Albania,ALB,2009,16023,3949,11701,,8046,23696
Albania,ALB,2010,15832,4144,11409,,8250,23803
Albania,ALB,2011,15119,4047,10854,9780,8179,32860
Albania,ALB,2012,14979,4349,10605,,8473,23427
Albania,ALB,2013,14861,4498,10402,7108,8610,30618
Albania,ALB,2014,14708,4462,10343,7367,8606,30778
Algeria,DZA,1971,,,47178,,,47178
Algeria,DZA,1975,,,60179,,,60179
Algeria,DZA,1976,,,65043,,,65043
Algeria,DZA,1977,,,70498,,,70498
Algeria,DZA,1978,,,77009,,,77009
Algeria,DZA,1979,,,80853,,,80853
Algeria,DZA,1980,,,85499,,,85499
Algeria,DZA,1981,,,88481,,,88481
Algeria,DZA,1982,,,94216,,,94216
Algeria,DZA,1983,,,100288,,,100288
Algeria,DZA,1984,,,109173,,,109173
Algeria,DZA,1985,,,115242,,,115242
Algeria,DZA,1986,,,125034,,,125034
Algeria,DZA,1987,,,133250,17619,,150869
Algeria,DZA,1988,,,139875,,,139875
Algeria,DZA,1989,,,139917,,,139917
Algeria,DZA,1990,,,144945,20562,,165507
Algeria,DZA,1991,,,151262,,,151262
Algeria,DZA,1992,,,154685,20336,,175021
Algeria,DZA,1993,,1042,161802,19291,,182135
Algeria,DZA,1994,,1229,164982,,,166211
Algeria,DZA,1995,,1280,166771,20026,,188077
Algeria,DZA,1996,,1238,169010,19910,,190158
Algeria,DZA,1997,,1333,170956,,,172289
Algeria,DZA,1999,,1268,169519,,,170787
Algeria,DZA,2000,,1443,170562,,,172005
Algeria,DZA,2001,,1662,169559,19052,,190273
Algeria,DZA,2002,,,170039,20282,,190321
Algeria,DZA,2003,,1795,167529,21681,,191005
Algeria,DZA,2004,,2154,170031,26097,,198282
Algeria,DZA,2005,,2465,171471,28371,,202307
Algeria,DZA,2006,,6865,171402,29986,,208253
Algeria,DZA,2007,,6363,170775,31683,,208821
Algeria,DZA,2008,,8181,169701,,,177882
Algeria,DZA,2009,,19512,141421,37168,,198101
Algeria,DZA,2010,,19383,141994,39782,,201159
Algeria,DZA,2011,,19323,144537,42265,,206125
Algeria,DZA,2012,,,149036,46454,,195490
Algeria,DZA,2013,,,155144,50333,,205477
Algeria,DZA,2014,,,159115,52380,,211495
American Samoa,ASM,1971,,,350,,,350
American Samoa,ASM,1972,,,330,32,,362
American Samoa,ASM,1973,,,328,,,328
American Samoa,ASM,1976,,,302,30,,332
American Samoa,ASM,1977,,,310,,,310
American Samoa,ASM,1978,,,,50,,50
American Samoa,ASM,1979,,,,40,,40
American Samoa,ASM,1980,,,,40,,40
American Samoa,ASM,1981,,,,45,,45
American Samoa,ASM,1982,,,395,47,,442
American Samoa,ASM,1983,,,,50,,50
American Samoa,ASM,1984,,100,346,46,,492
American Samoa,ASM,1985,,100,359,41,,500
American Samoa,ASM,1986,,98,454,36,,588
American Samoa,ASM,1987,,102,463,,,565
American Samoa,ASM,1988,,91,503,,,594
American Samoa,ASM,1989,,103,469,,,572
American Samoa,ASM,1990,,103,461,,,564
American Samoa,ASM,1991,,103,475,,,578
American Samoa,ASM,1992,,123,524,,,647
American Samoa,ASM,2007,,,,105,,105
Andorra,AND,1975,,,142,,,142
Andorra,AND,1983,,151,355,,,506
Andorra,AND,2002,,168,324,72,,564
Andorra,AND,2003,,178,343,76,,597
Andorra,AND,2004,,178,337,84,,599
Andorra,AND,2005,414,191,356,,68,615
Andorra,AND,2006,410,210,413,81,,704
Andorra,AND,2007,,200,432,,,632
Andorra,AND,2008,,188,448,87,,723
Andorra,AND,2009,418,184,433,113,,730
Andorra,AND,2010,417,187,453,,,640
Andorra,AND,2011,401,179,433,,,612
Andorra,AND,2012,417,178,431,157,,766
Andorra,AND,2013,,172,436,107,,715
Andorra,AND,2014,,179,427,102,,708
Angola,AGO,1971,,,9786,,,9786
Angola,AGO,1972,,,11343,,,11343
Angola,AGO,1973,,,12622,,,12622
Angola,AGO,1974,,,17831,,,17831
Angola,AGO,1982,,,40027,,,40027
Angola,AGO,1983,,,32004,,,32004
Angola,AGO,1984,,,33521,,,33521
Angola,AGO,1985,,,29191,,,29191
Angola,AGO,1986,,,31161,,,31161
Angola,AGO,1987,,,30310,,,30310
Angola,AGO,1988,,,31658,582,,32240
Angola,AGO,1989,,,31953,652,,32605
Angola,AGO,1990,,,,736,,736
Angola,AGO,1991,,,31062,986,,32048
Angola,AGO,1992,,,36402,787,,37189
Angola,AGO,1998,,,31878,828,,32706
Angola,AGO,1999,,,,796,,796
Angola,AGO,2000,,,,823,,823
Angola,AGO,2002,,,,1285,,1285
Angola,AGO,2006,,,,1286,,1286
Angola,AGO,2007,,,86769,,,86769
Angola,AGO,2010,15383,18032,93734,,,111766
Angola,AGO,2011,17475,18894,118158,7863,14804,159719
Antigua and Barbuda,ATG,1972,,,472,,,472
Antigua and Barbuda,ATG,1974,,,440,,,440
Antigua and Barbuda,ATG,1975,,21,460,,,481
Antigua and Barbuda,ATG,1976,,43,524,,,567
Antigua and Barbuda,ATG,1977,,26,419,,,445
Antigua and Barbuda,ATG,1978,,40,414,,,454
Antigua and Barbuda,ATG,1979,,,390,,,390
Antigua and Barbuda,ATG,2000,273,264,695,,121,1080
Antigua and Barbuda,ATG,2007,,180,538,,487,1205
Antigua and Barbuda,ATG,2008,577,209,675,,,884
Antigua and Barbuda,ATG,2009,380,,695,147,298,1140
Antigua and Barbuda,ATG,2010,369,267,747,173,325,1512
Antigua and Barbuda,ATG,2011,,286,748,173,,1207
Antigua and Barbuda,ATG,2012,499,124,755,219,224,1322
Antigua and Barbuda,ATG,2014,,,714,,,714
Arab World,,1970,,,479983.2813,36194.16406,,516177.4453
Arab World,,1971,,,493803.4688,37786.26563,,531589.7344
Arab World,,1972,,,518379.8438,41762.37891,,560142.2227
Arab World,,1973,,,540285.8125,44719.17578,,585004.9883
Arab World,,1974,,,558114.3125,49492.13672,,607606.4492
Arab World,,1975,,,580247.0625,53246.51563,,633493.5781
Arab World,,1976,,,614226.75,58820.14063,,673046.8906
Arab World,,1977,,,647984.5625,66419.85156,,714404.4141
Arab World,,1978,,53309.79297,671705.75,72579.08594,,797594.6289
Arab World,,1979,,55803.34766,705863.5625,77141.44531,,838808.3555
Arab World,,1980,,58187.04688,744064.0625,82364.52344,,884615.6328
Arab World,,1981,,62316.40625,770525.9375,90196.00781,,923038.3516
Arab World,,1982,,64342.17188,807236.3125,95001.42188,,966579.9063
Arab World,,1983,,67036.14844,867634.5625,99040.92188,,1033711.633
Arab World,,1984,,68253.96094,908557.5625,100895.6641,,1077707.188
Arab World,,1985,,70905.76563,958243.9375,106938.7969,,1136088.5
Arab World,,1986,,73644.69531,1008189.938,107388.1719,,1189222.805
Arab World,,1987,,76212.89844,1061871.125,112262.4766,,1250346.5
Arab World,,1988,,79486.21094,1103600.375,111198.4219,,1294285.008
Arab World,,1989,,83813.85938,1272819.25,111085.4766,,1467718.586
Arab World,,1990,,85879.58594,1193744,112553.9609,,1392177.547
Arab World,,1991,,90930.07813,1251814.625,112170.9844,,1454915.688
Arab World,,1992,,91941.19531,1267309,115338.5156,,1474588.711
Arab World,,1993,,92713.24219,1330799.375,125778.4688,,1549291.086
Arab World,,1994,608428.875,95809.0625,1369390.75,134687.4219,455203.0625,2055090.297
Arab World,,1995,640789.4375,97687.97656,1407111.625,147349.8125,483198.5313,2135347.945
Arab World,,1996,677446.4375,103363.7188,1447048.125,159317.3594,518270.3438,2227999.547
Arab World,,1997,703882.625,108878.0625,1520441.375,170333.875,568015.0625,2367668.375
Arab World,,1998,719392.5,118289.4297,1537223,179550,593106.375,2428168.805
Arab World,,1999,738274.9375,118525.2891,1542601.75,196584.8125,607965.25,2465677.102
Arab World,,2000,767936.8125,130595.3516,1598493.25,203408.9688,632229.5,2564727.07
Arab World,,2001,791430.75,128273.7891,1654702.25,211778.0938,662107.8125,2656861.945
Arab World,,2002,812766.9375,129121.0078,1697101.875,228163.1875,676464.9375,2730851.008
Arab World,,2003,887276.125,136849.2344,1711657.875,230443.5625,701050.8125,2780001.484
Arab World,,2004,913670.3125,142616.9844,1749978.25,261968.4063,724676.75,2879240.391
Arab World,,2005,950363.9375,152838.7969,1812018.875,279058.5313,746952.375,2990868.578
Arab World,,2006,982835.5625,161634.875,1858114.75,289917.3125,777075.75,3086742.688
Arab World,,2007,1036835.563,174824.9688,1884005.25,307219.0938,790326.125,3156375.438
Arab World,,2008,1083014.5,174484.9063,1933898.5,321690.2188,811652.0625,3241725.688
Arab World,,2009,1129627.25,188375.5156,1915047,339184.3125,840083.3125,3282690.141
Arab World,,2010,1110738,205899.1875,1943498.5,360694.9688,850963.3125,3361055.969
Arab World,,2011,1190056.75,227688.5625,2098688,356590.4375,874562.875,3557529.875
Arab World,,2012,1204982.125,241328.9688,2179168,381161.9375,924264.4375,3725923.344
Arab World,,2013,1143788.75,234965.0781,2150728.75,410568.6875,926213.875,3722476.391
Arab World,,2014,1131172.625,247489,2210545.5,442906.3125,881884.875,3782825.688
Argentina,ARG,1970,,11639,175929,22477,,210045
Argentina,ARG,1971,,12702,181230,26971,,220903
Argentina,ARG,1972,,13695,184508,29804,,228007
Argentina,ARG,1973,,14377,183796,38964,,237137
Argentina,ARG,1974,,16084,185566,41968,,243618
Argentina,ARG,1975,,18991,195997,45204,,260192
Argentina,ARG,1976,,20632,199256,39007,,258895
Argentina,ARG,1977,,22060,199384,42500,,263944
Argentina,ARG,1978,,,,42377,,42377
Argentina,ARG,1979,,23043,206275,44402,,273720
Argentina,ARG,1980,,24568,193640,46267,,264475
Argentina,ARG,1981,,25409,200388,47637,,273434
Argentina,ARG,1982,,27454,206535,53166,,287155
Argentina,ARG,1983,,29597,,56089,,85686
Argentina,ARG,1984,,32785,218520,64230,,315535
Argentina,ARG,1985,,36287,229715,70699,,336701
Argentina,ARG,1986,,39842,238818,69985,,348645
Argentina,ARG,1987,,41665,252259,75244,,369168
Argentina,ARG,1988,,44584,259579,,,304163
Argentina,ARG,1994,,65708,295488,,,361196
Argentina,ARG,1996,,,313764,,,313764
Argentina,ARG,1997,,71653,309162,,,380815
Argentina,ARG,1999,171015,50073,221495,101570,,373138
Argentina,ARG,2000,192208,,244412,112721,119115,476248
Argentina,ARG,2001,126061,53029,274580,129871,97306,554786
Argentina,ARG,2002,128731,53501,283403,127077,100428,564409
Argentina,ARG,2003,124933,58464,,131469.5938,116680,306613.5938
Argentina,ARG,2004,121134,66388,274232,141625,132931,615176
Argentina,ARG,2005,119954,69213,279349,139330,136930,624822
Argentina,ARG,2006,127356,72438,286782,142296,145548,647064
Argentina,ARG,2007,136277,77870,302654,,149487,530011
Argentina,ARG,2008,153249,71742,288776,,170708,531226
Argentina,ARG,2009,,,,142283,,142283
Armenia,ARM,1980,,11593,,,,11593
Armenia,ARM,1989,,14621,,,,14621
Armenia,ARM,1990,,14536,,,,14536
Armenia,ARM,1991,,,12556,,,12556
Armenia,ARM,1994,,,12908,,,12908
Armenia,ARM,1996,,,13283,,,13283
Armenia,ARM,1997,,,16073,,,16073
Armenia,ARM,1999,,7785,15926,,,23711
Armenia,ARM,2000,,6934,,,,6934
Armenia,ARM,2001,,6428,8666,16394,,31488
Armenia,ARM,2002,,5614,7640,15967,,29221
Armenia,ARM,2003,,5455,7635,16450,,29540
Armenia,ARM,2004,,5402,6646,16814,,28862
Armenia,ARM,2005,,4965,5904,16866,,27735
Armenia,ARM,2006,,5144,5720,16994,,27858
Armenia,ARM,2007,,5059,6606,16430,,28095
Armenia,ARM,2008,,5160,,16077,,21237
Armenia,ARM,2009,,5337,,15912,,21249
Armenia,ARM,2010,,5476,,15843,,21319
Armenia,ARM,2011,,6152,,16441,,22593
Armenia,ARM,2012,,6761,,16434,,23195
Armenia,ARM,2013,,,,15466,,15466
Armenia,ARM,2014,,,,15925,,15925
Aruba,ABW,1999,,105,473,153,,731
Aruba,ABW,2000,,106,486,164,,756
Aruba,ABW,2001,,112,498,170,,780
Aruba,ABW,2002,,122,516,159,,797
Aruba,ABW,2003,,135,537,169,,841
Aruba,ABW,2004,,141,552,174,,867
Aruba,ABW,2005,,144,567,228,,939
Aruba,ABW,2006,,145,572,234,,951
Aruba,ABW,2007,,141,594,222,,957
Aruba,ABW,2008,,143,579,213,,935
Aruba,ABW,2009,,145,582,231,,958
Aruba,ABW,2010,,144,586,224,,954
Aruba,ABW,2011,,147,604,228,,979
Aruba,ABW,2012,,147,601,265,,1013
Aruba,ABW,2013,,,,114,,114
Aruba,ABW,2014,,,,116,,116
Australia,AUS,1971,,,67114,,,67114
Australia,AUS,1972,,,69496,,,69496
Australia,AUS,1973,,,70911,,,70911
Australia,AUS,1974,,,73745,18461,,92206
Australia,AUS,1975,,,78390,19920,,98310
Australia,AUS,1976,,,81747,20848,,102595
Australia,AUS,1977,,,85855,21371,,107226
Australia,AUS,1978,,,87878,21958,,109836
Australia,AUS,1979,,,90668,22140,,112808
Australia,AUS,1980,,,,22134,,22134
Australia,AUS,1981,,,91386,21957,,113343
Australia,AUS,1982,,,,21799,,21799
Australia,AUS,1983,,,,21867,,21867
Australia,AUS,1984,,,102853,22234,,125087
Australia,AUS,1985,,,,22659,,22659
Australia,AUS,1986,,,90685,23384,,114069
Australia,AUS,1987,,,91252,24001,,115253
Australia,AUS,1988,,,91979,24516,,116495
Australia,AUS,1989,,,92820,25032,,117852
Australia,AUS,1990,,,,27824,,27824
Australia,AUS,1991,,,96779,28671,,125450
Australia,AUS,1992,,,97955,27442,,125397
Australia,AUS,1993,,,98526,,,98526
Australia,AUS,1995,,,101035,,,101035
Australia,AUS,1996,,,102267,,,102267
Australia,AUS,1997,,,103774,,,103774
Australia,AUS,1998,,,104500,,,104500
Australia,AUS,1999,,,105469,,,105469
Australia,AUS,2013,,,,50613.46875,,50613.46875
Austria,AUT,1971,,4423,24815,6980,,36218
Austria,AUT,1972,,4668,24834,7632,,37134
Austria,AUT,1973,,4332,24850,8463,,37645
Austria,AUT,1974,,4674,25241,9349,,39264
Austria,AUT,1975,,5083,25308,10487,,40878
Austria,AUT,1976,,5578,26374,,,31952
Austria,AUT,1977,,5989,,,,5989
Austria,AUT,1978,,6497,28492,,,34989
Austria,AUT,1979,,6860,26049,,,32909
Austria,AUT,1980,,7112,26369,,,33481
Austria,AUT,1981,,7069,27525,14086,,48680
Austria,AUT,1982,,7212,27561,14150,,48923
Austria,AUT,1983,,7299,27731,14200,,49230
Austria,AUT,1984,,7689,27942,14250,,49881
Austria,AUT,1985,,7941,28175,14300,,50416
Austria,AUT,1986,,8159,32806,14350,,55315
Austria,AUT,1987,,8563,33100,,,41663
Austria,AUT,1988,,8754,33330,,,42084
Austria,AUT,1989,,8863,33594,,,42457
Austria,AUT,1990,,9044,33796,,,42840
Austria,AUT,1991,,9329,34232,,,43561
Austria,AUT,1992,,9634,34902,,,44536
Austria,AUT,1993,,9981,33507,,,43488
Austria,AUT,1994,,11536,32059,24732,,68327
Austria,AUT,1995,,12803,32634,25380,,70817
Austria,AUT,1996,,12906,30674,26318,,69898
Austria,AUT,1997,,13429,31251,26356,,71036
Austria,AUT,1998,,13624,31716,,,45340
Austria,AUT,1999,42562,14120,28890,25670,30022,98702
Austria,AUT,2002,43213,14026,29129,26511,29179,98845
Austria,AUT,2003,42977,14535,28822,28698,29652,101707
Austria,AUT,2004,42885,14609,28397,,29069,72075
Austria,AUT,2005,42402,15239,29239,,28733,73211
Austria,AUT,2006,42788,15896,29044,40186,28760,113886
Austria,AUT,2007,42404,16158,29274,29367,29306,104105
Austria,AUT,2008,41848,16812,29017,32686,31008,109523
Austria,AUT,2009,42224,18274,29179,34800,31978,114231
Austria,AUT,2010,42450,19353,29743,46651,32126,127873
Austria,AUT,2011,42382,19941,29957,49002,32372,131272
Austria,AUT,2012,41825,20603,30204,50431,32601,133839
Austria,AUT,2013,41256,20322.53711,30565.95508,58014.39063,31780,140682.8828
Austria,AUT,2014,41779.16797,20438.67188,30533.42383,58765.5625,30784.48242,140522.1406
Azerbaijan,AZE,1981,,13628,,11961,,25589
Azerbaijan,AZE,1986,,15331,,13136,,28467
Azerbaijan,AZE,1989,,17370,,18194,,35564
Azerbaijan,AZE,1990,,18277,,17846,,36123
Azerbaijan,AZE,1991,,18516,26177,13809,,58502
Azerbaijan,AZE,1992,,19193,26708,14190,,60091
Azerbaijan,AZE,1993,,19251,27793,14853,,61897
Azerbaijan,AZE,1994,,20140,30555,15149,,65844
Azerbaijan,AZE,1995,,14863,31624,15537,,62024
Azerbaijan,AZE,1996,,14499,34201,,,48700
Azerbaijan,AZE,1997,,13033,35514,,,48547
Azerbaijan,AZE,1998,,12418,36413,,,48831
Azerbaijan,AZE,1999,,11872,36810,,,48682
Azerbaijan,AZE,2000,,11477,37469,,,48946
Azerbaijan,AZE,2001,,11092,40523,,,51615
Azerbaijan,AZE,2002,,11019,41328,,,52347
Azerbaijan,AZE,2003,,10963,41651,,,52614
Azerbaijan,AZE,2004,,10973,42533,,,53506
Azerbaijan,AZE,2005,,10856,42243,,,53099
Azerbaijan,AZE,2006,,10859,43026,24022,,77907
Azerbaijan,AZE,2007,,10763,44106,24753,,79622
Azerbaijan,AZE,2008,,10225,43971,23662,,77858
Azerbaijan,AZE,2009,,10105,44232,25836,,80173
Azerbaijan,AZE,2010,,10044,43610,25806,,79460
Azerbaijan,AZE,2011,,10514,43242,25568,,79324
Azerbaijan,AZE,2012,,10920,41221,24887,,77028
Azerbaijan,AZE,2013,,10996,41012,25510,,77518
Azerbaijan,AZE,2014,,9611,41012,21318,,71941
Bahamas,BHS,1971,,,707,,,707
Bahamas,BHS,1972,,,751,,,751
Bahamas,BHS,1975,,,1187,,,1187
Bahamas,BHS,1976,,,1294,,,1294
Bahamas,BHS,1977,,,1417,128,,1545
Bahamas,BHS,1978,,,,144,,144
Bahamas,BHS,1979,,,,136,,136
Bahamas,BHS,1980,,,1218,127,,1345
Bahamas,BHS,1981,,,1261,127,,1388
Bahamas,BHS,1982,,,1151,126,,1277
Bahamas,BHS,1983,,,1555,128,,1683
Bahamas,BHS,1984,,,1565,,,1565
Bahamas,BHS,1985,,,1561,,,1561
Bahamas,BHS,1986,,,1767,,,1767
Bahamas,BHS,1988,,,,249,,249
Bahamas,BHS,1993,,47,,,,47
Bahamas,BHS,1994,,,1581,,,1581
Bahamas,BHS,1995,,,1485,208,,1693
Bahamas,BHS,1997,,76,,,,76
Bahamas,BHS,1999,887,156,2406,,819,3381
Bahamas,BHS,2000,,205,,,,205
Bahamas,BHS,2002,1023,338,2029,,1112,3479
Bahamas,BHS,2004,977,,2150,,1200,3350
Bahamas,BHS,2005,1030,,,,1335,1335
Bahamas,BHS,2006,1356,,2335,,1203,3538
Bahamas,BHS,2007,1480,,2420,,1308,3728
Bahamas,BHS,2008,1452,,2333,,1264,3597
Bahamas,BHS,2009,1133,,2683,,1647,4330
Bahamas,BHS,2010,1473,,2402,,1364,3766
Bahrain,BHR,1971,,,,32,,32
Bahrain,BHR,1972,,,,33,,33
Bahrain,BHR,1973,,,1900,37,,1937
Bahrain,BHR,1974,,,1723,43,,1766
Bahrain,BHR,1975,,,1916,67,,1983
Bahrain,BHR,1976,,,2044,79,,2123
Bahrain,BHR,1977,,,2010,101,,2111
Bahrain,BHR,1978,,73,2235,,,2308
Bahrain,BHR,1979,,81,2345,,,2426
Bahrain,BHR,1980,,94,2479,125,,2698
Bahrain,BHR,1981,,,2577,159,,2736
Bahrain,BHR,1982,,104,2543,230,,2877
Bahrain,BHR,1983,,160,2736,,,2896
Bahrain,BHR,1984,,189,2910,,,3099
Bahrain,BHR,1985,,205,2892,466,,3563
Bahrain,BHR,1986,,255,2856,434,,3545
Bahrain,BHR,1987,,295,2906,507,,3708
Bahrain,BHR,1988,,317,2887,519,,3723
Bahrain,BHR,1989,,298,2882,,,3180
Bahrain,BHR,1990,,,3059,,,3059
Bahrain,BHR,1991,,344,3092,557,,3993
Bahrain,BHR,1992,,387,3085,605,,4077
Bahrain,BHR,1993,,420,3312,582,,4314
Bahrain,BHR,1994,,464,3386,655,,4505
Bahrain,BHR,1995,,514,3536,,,4050
Bahrain,BHR,1996,,449,,,,449
Bahrain,BHR,1998,,572,,,,572
Bahrain,BHR,1999,,660,,,,660
Bahrain,BHR,2000,,692,,,,692
Bahrain,BHR,2001,,719,,,,719
Bahrain,BHR,2002,,737,,,,737
Bahrain,BHR,2003,,778,,857,,1635
Bahrain,BHR,2004,,,,832,,832
Bahrain,BHR,2005,,1251,,,,1251
Bahrain,BHR,2006,,1191,,,,1191
Bahrain,BHR,2008,,1388,,,,1388
Bahrain,BHR,2009,,1540,,,,1540
Bahrain,BHR,2010,,1683,,,,1683
Bahrain,BHR,2011,3593,1730,7679,,4288,13697
Bahrain,BHR,2012,3825,1856,8117,1833,4821,16627
Bahrain,BHR,2013,4077,2072,8413,1879,4817,17181
Bahrain,BHR,2014,4237,2160,8896,2180.199951,4901,18137.19995
Bangladesh,BGD,1970,,,113673,7201,,120874
Bangladesh,BGD,1971,,,117275,,,117275
Bangladesh,BGD,1972,,,136508,,,136508
Bangladesh,BGD,1973,,195,155742,,,155937
Bangladesh,BGD,1974,,,150267,,,150267
Bangladesh,BGD,1975,,,164717,,,164717
Bangladesh,BGD,1976,,,172448,13503,,185951
Bangladesh,BGD,1977,,,174384,13110,,187494
Bangladesh,BGD,1978,,,186144,15784,,201928
Bangladesh,BGD,1979,,,187504,12329,,199833
Bangladesh,BGD,1980,,,153859,12428,,166287
Bangladesh,BGD,1981,,,149909,12775,,162684
Bangladesh,BGD,1982,,,,15023,,15023
Bangladesh,BGD,1983,,,171349,14685,,186034
Bangladesh,BGD,1984,,,189884,15205,,205089
Bangladesh,BGD,1985,,,189900,16187,,206087
Bangladesh,BGD,1986,,,190557,17410,,207967
Bangladesh,BGD,1987,,,191507,19171,,210678
Bangladesh,BGD,1988,,63054,191399,20587,,275040
Bangladesh,BGD,1989,,,186872,,,186872
Bangladesh,BGD,1990,,,189508,22447,,211955
Bangladesh,BGD,1999,135647,67504,,34626,129298,231428
Bangladesh,BGD,2000,136164,69499,,36786,132610,238895
Bangladesh,BGD,2001,141817,58177,,39058,143292,240527
Bangladesh,BGD,2002,159432,61568,,41620,161347,264535
Bangladesh,BGD,2003,183037,,,45885,172557,218442
Bangladesh,BGD,2004,186247,,,49224,192029,241253
Bangladesh,BGD,2005,220464,,344806,52297,202114,599217
Bangladesh,BGD,2006,218670,,344914,59189,190592,594695
Bangladesh,BGD,2007,220280,,364494,60915,193466,618875
Bangladesh,BGD,2008,196283,,365925,61569,174517,602011
Bangladesh,BGD,2009,207897,,361450,58711,179376,599537
Bangladesh,BGD,2010,205384,,395281,,194668,589949
Bangladesh,BGD,2011,198551,,458389,77373,178363,714125
Bangladesh,BGD,2012,204037,,,88236,174012,262248
Bangladesh,BGD,2013,204188,,,,174021,174021
Bangladesh,BGD,2014,,,,90428,,90428
Barbados,BRB,1972,,,,111,,111
Barbados,BRB,1978,,137,1227,,,1364
Barbados,BRB,1979,,127,1261,,,1388
Barbados,BRB,1981,,,,317,,317
Barbados,BRB,1983,,132,1492,,,1624
Barbados,BRB,1984,,,1317,446,,1763
Barbados,BRB,1985,,,1421,544,,1965
Barbados,BRB,1989,,,1609,,,1609
Barbados,BRB,1990,,,1602,,,1602
Barbados,BRB,1992,,,1553,,,1553
Barbados,BRB,1999,,329,1395,627,,2351
Barbados,BRB,2000,,328,1393,663,,2384
Barbados,BRB,2001,,335,1422,592,,2349
Barbados,BRB,2002,,346,1471,,,1817
Barbados,BRB,2003,,344,1460,,,1804
Barbados,BRB,2004,,333,1416,,,1749
Barbados,BRB,2005,,346,1469,,,1815
Barbados,BRB,2007,,324,1553,786,,2663
Barbados,BRB,2008,,363,1698,,,2061
Barbados,BRB,2009,,362,1607,,,1969
Barbados,BRB,2010,,359,1742,,,2101
Barbados,BRB,2011,,348,1720,,,2068
Barbados,BRB,2014,,348,1145,,,1493
Belarus,BLR,1981,,36400,,,,36400
Belarus,BLR,1982,,38700,,,,38700
Belarus,BLR,1983,,40700,,,,40700
Belarus,BLR,1984,,43500,,,,43500
Belarus,BLR,1985,,47800,,,,47800
Belarus,BLR,1986,,52000,,,,52000
Belarus,BLR,1987,,54500,,,,54500
Belarus,BLR,1988,,57500,,,,57500
Belarus,BLR,1989,,59600,,,,59600
Belarus,BLR,1990,,60800,,,,60800
Belarus,BLR,1991,,62300,,,,62300
Belarus,BLR,1992,,62700,30300,39800,,132800
Belarus,BLR,1993,,56100,31600,39300,,127000
Belarus,BLR,1994,,54800,32400,39200,,126400
Belarus,BLR,1995,,55300,32200,40000,,127500
Belarus,BLR,1996,,54600,,,,54600
